Customer_ID,Already_Buys,Recommendation_1,Score_1,Recommendation_2,Score_2,Recommendation_3,Score_3
CUST_00001,"Books, Home & Garden, Sports",Toys,0.2245,Fashion,0.223,Food,0.2208
CUST_00002,"Beauty, Food",Sports,0.2324,Toys,0.2176,Books,0.211
CUST_00003,"Home & Garden, Toys",Electronics,0.2299,Sports,0.2176,Food,0.2131
CUST_00004,Fashion,Sports,0.2344,Books,0.2236,Food,0.2157
CUST_00005,"Fashion, Home & Garden, Toys",Sports,0.2232,Electronics,0.2203,Food,0.214
CUST_00006,"Beauty, Food",Sports,0.2324,Toys,0.2176,Books,0.211
CUST_00007,Fashion,Sports,0.2344,Books,0.2236,Food,0.2157
CUST_00008,"Sports, Toys",Food,0.2355,Electronics,0.2292,Fashion,0.2248
CUST_00009,Fashion,Sports,0.2344,Books,0.2236,Food,0.2157
CUST_00010,"Beauty, Books, Fashion",Sports,0.2195,Food,0.2184,Toys,0.2137
CUST_00011,"Beauty, Books, Electronics, Fashion, Sports, Toys",Food,0.2211,Home & Garden,0.2158,,0.0
CUST_00012,Toys,Home & Garden,0.2363,Electronics,0.2355,Food,0.2246
CUST_00013,"Food, Home & Garden",Toys,0.2305,Sports,0.2297,Beauty,0.2168
CUST_00014,"Beauty, Books, Food",Sports,0.2235,Toys,0.2168,Fashion,0.2145
CUST_00015,"Books, Electronics, Sports",Toys,0.2242,Food,0.2204,Fashion,0.2197
CUST_00016,"Beauty, Books, Electronics, Food, Toys",Sports,0.2231,Home & Garden,0.2144,Fashion,0.212
CUST_00017,Home & Garden,Toys,0.2363,Electronics,0.2243,Sports,0.2131
CUST_00018,"Beauty, Books, Food, Home & Garden",Toys,0.2217,Sports,0.2209,Fashion,0.2137
CUST_00019,Fashion,Sports,0.2344,Books,0.2236,Food,0.2157
CUST_00020,"Beauty, Home & Garden",Toys,0.2235,Electronics,0.2201,Sports,0.2158
CUST_00021,"Books, Fashion, Sports",Food,0.2255,Toys,0.2175,Electronics,0.2123
CUST_00022,"Beauty, Books, Sports, Toys",Food,0.2276,Electronics,0.2218,Fashion,0.2194
CUST_00023,Fashion,Sports,0.2344,Books,0.2236,Food,0.2157
